SGS Bonds and T-bills & CMTBs Auction Result Data

Issue Code,ISIN Code,Product Type,Term to Maturity at Auction,Auction Amount (S$M),Auction Date,Issue Date,Maturity Date,Amount Applied (S$M),Coupon Rate (%),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
BS13118F,SG55C4991317,T-bills,183,2800,16/09/2013,19/09/2013,21/03/2014,4596.9,N/A,1.64,0.30,99.850,0.28,99.860,0.24,99.880
BS13119Z,SG55C5991324,T-bills,182,2000,30/09/2013,04/10/2013,04/04/2014,4216.1,N/A,2.11,0.29,99.855,0.25,99.875,0.23,99.885
BS13120N,SG55C6991331,T-bills,185,2000,14/10/2013,18/10/2013,21/04/2014,3399.9,N/A,1.70,0.30,99.848,0.26,99.868,0.22,99.888
BS13121V,SG55C7991348,T-bills,182,2000,28/10/2013,01/11/2013,02/05/2014,4274.9,N/A,2.14,0.28,99.860,0.23,99.885,0.22,99.890
BS13122A,SG55C8991354,T-bills,182,2000,11/11/2013,15/11/2013,16/05/2014,4155.7,N/A,2.08,0.28,99.860,0.21,99.895,0.21,99.895
BS13123E,SG55C9991361,T-bills,182,2000,25/11/2013,29/11/2013,30/05/2014,4007.5,N/A,2.00,0.29,99.855,0.15,99.925,0.18,99.910
BS13124F,SG55D0991376,T-bills,182,2000,09/12/2013,13/12/2013,13/06/2014,3952.4,N/A,1.98,0.28,99.860,0.20,99.900,0.18,99.910
BS13125Z,SG55D1991383,T-bills,182,2000,23/12/2013,27/12/2013,27/06/2014,3996.6,N/A,2.00,0.30,99.850,0.25,99.875,0.21,99.895
BS19100T,SGXZ55947717,T-bills,182,3700,27/06/2019,02/07/2019,31/12/2019,9504.0,N/A,2.57,1.93,99.038,1.90,99.053,1.73,99.137
BS19101X,SGXZ13898291,T-bills,182,3800,11/07/2019,16/07/2019,14/01/2020,11818.5,N/A,3.11,1.80,99.102,1.77,99.117,1.60,99.202
