SGS Bonds and T-bills & CMTBs Auction Result Data

Issue Code,ISIN Code,Product Type,Term to Maturity at Auction,Auction Amount (S$M),Auction Date,Issue Date,Maturity Date,Amount Applied (S$M),Coupon Rate (%),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
BS23125H,SGXZ97252035,T-bills,182,5600,20/12/2023,26/12/2023,25/06/2024,12800.4,N/A,2.29,3.73,98.140,3.58,98.215,2.94,98.534
BS24100F,SGXZ14870752,T-bills,182,6100,04/01/2024,09/01/2024,09/07/2024,12764.3,N/A,2.09,3.74,98.135,3.55,98.230,3.06,98.474
BS24101Z,SGXZ64133028,T-bills,182,6400,18/01/2024,23/01/2024,23/07/2024,13551.6,N/A,2.12,3.70,98.155,3.60,98.205,3.11,98.449
BS24102S,SGXZ32636938,T-bills,182,6300,01/02/2024,06/02/2024,06/08/2024,14625.1,N/A,2.32,3.54,98.235,3.21,98.399,2.63,98.689
BS24103H,SGXZ50304468,T-bills,182,6600,15/02/2024,20/02/2024,20/08/2024,13520.0,N/A,2.05,3.66,98.175,3.48,98.265,3.00,98.504
BS24104T,SGXZ48734073,T-bills,182,6400,29/02/2024,05/03/2024,03/09/2024,12446.6,N/A,1.94,3.80,98.105,3.50,98.255,2.95,98.529
BS24105X,SGXZ47704846,T-bills,182,6300,14/03/2024,19/03/2024,17/09/2024,14440.9,N/A,2.29,3.78,98.115,3.60,98.205,3.30,98.355
BS24106W,SGXZ88585823,T-bills,182,6100,27/03/2024,02/04/2024,01/10/2024,15562.9,N/A,2.55,3.80,98.105,3.61,98.200,3.34,98.335
BS24107N,SGXZ93751485,T-bills,182,6300,11/04/2024,16/04/2024,15/10/2024,15980.3,N/A,2.54,3.75,98.130,3.65,98.180,3.39,98.310
BS24108V,SGXZ83501924,T-bills,182,6600,25/04/2024,30/04/2024,29/10/2024,14390.6,N/A,2.18,3.74,98.135,3.65,98.180,3.40,98.305
BS24109A,SGXZ25011966,T-bills,182,6800,09/05/2024,14/05/2024,12/11/2024,16297.0,N/A,2.40,3.70,98.155,3.55,98.230,3.13,98.439
BS24110T,SGXZ12438883,T-bills,182,7000,23/05/2024,28/05/2024,26/11/2024,14465.5,N/A,2.07,3.65,98.180,3.48,98.265,3.04,98.484
BS24111X,SGXZ81105322,T-bills,182,7100,06/06/2024,11/06/2024,10/12/2024,14220.3,N/A,2.00,3.76,98.125,3.50,98.255,3.15,98.429
BS24112W,SGXZ29011285,T-bills,182,6600,20/06/2024,25/06/2024,24/12/2024,15457.0,N/A,2.34,3.74,98.135,3.54,98.235,3.08,98.464
